Date,Status,Start Location,End Location,Flight Number,Departure Time,Arrival Time,Flight Duration,Departure Location,Arrival Location,Price,Website,URL
15/11/2024,FromUK,STN,SOF,FR 9967,18:55,23:50,2h 55m,London Stansted,Sofia,£52.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-15&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-15&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
16/11/2024,FromUK,STN,SOF,FR 1730,06:10,11:05,2h 55m,London Stansted,Sofia,£52.95,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-16&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-16&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
16/11/2024,FromUK,STN,SOF,FR 2690,09:55,14:50,2h 55m,London Stansted,Sofia,£52.95,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-16&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-16&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
16/11/2024,FromUK,STN,SOF,FR 9961,20:05,01:00,2h 55m,London Stansted,Sofia,£45.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-16&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-16&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
17/11/2024,FromUK,STN,SOF,FR 1730,06:50,11:45,2h 55m,London Stansted,Sofia,£40.59,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
17/11/2024,FromUK,STN,SOF,FR 2690,14:05,19:00,2h 55m,London Stansted,Sofia,£58.58,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
17/11/2024,FromUK,STN,SOF,FR 9967,15:35,20:30,2h 55m,London Stansted,Sofia,£71.45,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
17/11/2024,FromUK,STN,SOF,FR 9976,17:10,22:05,2h 55m,London Stansted,Sofia,£61.85,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
18/11/2024,FromUK,STN,SOF,FR 1730,06:55,11:50,2h 55m,London Stansted,Sofia,£31.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-18&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-18&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
18/11/2024,FromUK,STN,SOF,FR 2690,08:55,13:50,2h 55m,London Stansted,Sofia,£35.89,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-18&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-18&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
18/11/2024,FromUK,STN,SOF,FR 9961,15:55,20:50,2h 55m,London Stansted,Sofia,£71.45,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-18&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-18&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
19/11/2024,FromUK,STN,SOF,FR 1730,08:15,13:10,2h 55m,London Stansted,Sofia,£31.47,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-19&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-19&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
19/11/2024,FromUK,STN,SOF,FR 2690,13:45,18:40,2h 55m,London Stansted,Sofia,£47.57,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-19&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-19&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
20/11/2024,FromUK,STN,SOF,FR 1730,06:30,11:25,2h 55m,London Stansted,Sofia,£60.54,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-20&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-20&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
